inventory,writer,source,destination,year,date,rec_date,resp_date,language,notes
DvdM_265-09,"Della Faille, Andries",Middelburg,Leiden,1597,15970716,15970723,NA,Dutch,
DvdM_265-10,"Della Faille, Andries",Moree,Leiden,1598,15981217,15990722,NA,Dutch,"From Guinea voor Maure. See https://en.wikipedia.org/wiki/Fort_Nassau,_Ghana on Fort Nassau."
DvdM_265-11,"Della Faille, Andries","Cape Lopez",Leiden,1599,15990324,15990724,NA,Dutch,From Cape Lopez Gonsalves. Named after the Portuguese explorer Lopes Gonçalves.  https://en.wikipedia.org/wiki/Cape_Lopez
DvdM_265-12,"Della Faille, Andries",Amsterdam,Leiden,1599,15991020,15991020,NA,Dutch,
DvdM_265-13,"Della Faille, Andries",Leiden,Middelburg,1600,16000405,16000409,NA,Dutch,
DvdM_266,"Della Faille, Charles",Rotterdam,Leiden,1596,15960310,15960310,NA,French,
DvdM_267-01,"Della Faille, David",Delft,Leiden,1598,15980212,15980220,NA,Dutch,
DvdM_267-02,"Della Faille, David",Delft,Leiden,1598,15980603,NA,NA,Dutch,
DvdM_267-03,"Della Faille, David",Delft,Leiden,1598,15980619,15980619,NA,Dutch,Addressed to Abraham Berrewijns
DvdM_268,"Della Faille, Joris",Antwerp,Leiden,1600,16000110,16000119,NA,Dutch,
DvdM_269-01,"Della Faille, Hester",Leiden,Antwerp,1592,15921015,NA,NA,Dutch,
DvdM_269-02,"Della Faille, Hester",Leiden,Haarlem,1593,15930202,15930202,NA,Dutch,
DvdM_269-04,"Della Faille, Hester",Leiden,Bremen,1593,15930921,15931005,NA,Dutch,Changed received date to old style
DvdM_269-05,"Della Faille, Hester",Leiden,Antwerp,1594,15940827,NA,NA,Dutch,
DvdM_269-06,"Della Faille, Hester",Leiden,Antwerp,1594,15940904,NA,NA,Dutch,
DvdM_269-07,"Della Faille, Hester",Leiden,Antwerp,1594,15940921,15940928,NA,Dutch,
DvdM_269-08,"Della Faille, Hester",Leiden,Antwerp,1594,15941005,NA,NA,Dutch,
DvdM_269-09,"Della Faille, Hester",Leiden,Antwerp,1594,15941012,NA,NA,Dutch,
DvdM_269-10,"Della Faille, Hester",Leiden,Bremen,1594,15941219,15941230,NA,Dutch,Changed received date to old style
DvdM_269-11,"Della Faille, Hester",Leiden,Haarlem,1595,15950918,15950918,NA,Dutch,
DvdM_269-12,"Della Faille, Hester",Leiden,Haarlem,1596,15960422,15960422,NA,Dutch,
DvdM_269-13,"Della Faille, Hester",Leiden,Antwerp,1598,15980101,NA,NA,Dutch,No exact date
DvdM_269-14,"Della Faille, Hester",Leiden,Amsterdam,1599,15990430,NA,NA,Dutch,
DvdM_269-15,"Della Faille, Hester",Leiden,Cologne,1599,15990603,15990609,NA,Dutch,Did not change received date to old style
DvdM_270-01/02,"Della Faille, Jan",Leiden,Bremen,1587,15870503,NA,NA,Dutch,
DvdM_270-03,"Della Faille, Jan",NA,NA,NA,NA,NA,NA,Dutch,Unclear when this letter was written.
