"Inventory","name","count","source","destination","year","date","r_date"
"DvdM_593a-030","Meulen, Andries van der","1","Antwerp","Haarlem","1584","1584-12-08","NA"
"DvdM_593a-031/32","Meulen, Andries van der","1","Antwerp","Haarlem","1584","1584-12-08","NA"
"DvdM_558-002","Janssen van der Meulen, Peeter","1","Antwerp","Delft","1584","1584-12-10","NA"
"DvdM_593a-033","Meulen, Andries van der","1","Antwerp","Haarlem","1584","1584-12-10","NA"
"DvdM_593a-034","Meulen, Andries van der","1","Antwerp","Haarlem","1584","1584-12-13","NA"
"DvdM_593a-035","Meulen, Andries van der","1","Antwerp","Haarlem","1584","1584-12-17","NA"
"DvdM_593a-036","Meulen, Andries van der","1","Antwerp","Haarlem","1584","1584-12-25","NA"
"DvdM_593a-037","Meulen, Andries van der","1","Antwerp","Haarlem","1584","1584-12-29","NA"
"DvdM_558-003","Janssen van der Meulen, Peeter","1","Antwerp","Delft","1584","1584-12-30","NA"
"DvdM_593a-038","Meulen, Andries van der","1","Antwerp","Haarlem","1584","1584-12-30","NA"
"DvdM_538a-001","Della Faille, Jacques","1","Haarlem","The Hague","1584","1584-12-12","NA"
"DvdM_593a-039","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-01-03","NA"
"DvdM_593a-040","Meulen, Andries van der","1","Antwerp","Haarlem","1585","1585-01-09","NA"
"DvdM_593a-041","Meulen, Andries van der","1","Antwerp","Haarlem","1585","1585-01-11","NA"
"DvdM_593a-042","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-01-12","NA"
"DvdM_593a-043","Meulen, Andries van der","1","Antwerp","Haarlem","1585","1585-01-12","NA"
"DvdM_593a-044","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-01-17","NA"
"DvdM_593a-045","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-01-22","NA"
"DvdM_593a-046","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-01-23","NA"
"DvdM_274-07","Della Faille, Marten","1","Antwerp","Haarlem","1585","1585-01-24","NA"
"DvdM_593a-047","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-01-28","NA"
"DvdM_593a-048","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-01-30","NA"
"DvdM_593a-049","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-05","NA"
"DvdM_593a-050","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-07","NA"
"DvdM_538a-004","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-02-10","NA"
"DvdM_593a-051","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-11","NA"
"DvdM_593a-052","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-16","NA"
"DvdM_538a-003","Della Faille, Jacques","1","Haarlem","The Hague","1585","1585-02-20","NA"
"DvdM_593a-053","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-20","NA"
"DvdM_538a-005","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-02-21","NA"
"DvdM_593a-054","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-22","NA"
"DvdM_593a-055","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-25","NA"
"DvdM_661-01","Staten van Brabant","1","Antwerp","Delft","1585","1585-02-25","NA"
"DvdM_593a-056","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-26","NA"
"DvdM_661-02","Staten van Brabant","1","Antwerp","Delft","1585","1585-02-26","NA"
"DvdM_593a-057","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-02-27","NA"
"DvdM_593a-058","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-02","NA"
"DvdM_593a-059","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-05","NA"
"DvdM_593a-060","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-09","NA"
"DvdM_593a-061","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-11","NA"
"DvdM_538a-006","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-03-12","NA"
